$NAME IBM
# Date,Open,High,Low,Close,Adj Close,Volume
02-01-1990,23.687500,24.531250,23.625000,24.500000,6.674699,7041600
03-01-1990,24.687500,24.875000,24.593750,24.718750,6.734290,9464000
04-01-1990,24.750000,25.093750,24.718750,25.000000,6.810916,9674800
05-01-1990,24.968750,25.406250,24.875000,24.937500,6.793887,7570000
08-01-1990,24.812500,25.218750,24.812500,25.093750,6.836458,4625200
09-01-1990,25.125000,25.312500,24.843750,24.843750,6.768350,7048000
10-01-1990,24.875000,25.000000,24.656250,24.750000,6.742810,5945600
11-01-1990,24.875000,25.093750,24.843750,24.968750,6.802402,5905600
12-01-1990,24.656250,24.812500,24.406250,24.468750,6.666186,5390800
15-01-1990,24.406250,24.593750,24.312500,24.531250,6.683212,4035600
16-01-1990,24.375000,25.093750,24.375000,25.031250,6.819428,8220400
17-01-1990,25.093750,25.218750,24.593750,24.718750,6.734290,8926000
18-01-1990,24.500000,24.906250,24.406250,24.875000,6.776865,6926400
19-01-1990,24.937500,24.968750,24.625000,24.656250,6.717267,6594800
22-01-1990,24.687500,24.781250,24.125000,24.156250,6.581050,6882800
23-01-1990,24.250000,24.562500,24.156250,24.187500,6.589563,5922800
24-01-1990,23.937500,24.468750,23.875000,24.375000,6.640644,9820400
25-01-1990,24.468750,24.468750,23.750000,23.968750,6.529965,6792400
26-01-1990,24.031250,24.312500,23.781250,24.218750,6.598076,7345600
29-01-1990,24.343750,24.437500,23.875000,24.312500,6.623616,5153600
30-01-1990,24.343750,24.406250,23.937500,24.312500,6.623616,8646800
31-01-1990,24.500000,24.656250,24.406250,24.656250,6.717267,8452000
01-02-1990,24.656250,24.937500,24.437500,24.437500,6.657670,6903600
02-02-1990,24.468750,24.687500,24.468750,24.593750,6.700242,6064400
05-02-1990,24.406250,24.968750,24.375000,24.906250,7.136487,5299200
06-02-1990,24.906250,25.343750,24.656250,25.250000,7.234982,10808000
07-02-1990,25.187500,25.937500,25.156250,25.781250,7.387201,12057600
08-02-1990,25.906250,25.968750,25.468750,25.687500,7.360343,7932000
09-02-1990,25.718750,25.812500,25.500000,25.625000,7.342434,5061600
12-02-1990,25.593750,25.593750,25.156250,25.281250,7.243937,4766400
13-02-1990,25.468750,25.812500,25.312500,25.812500,7.396154,7168400
14-02-1990,25.843750,26.062500,25.812500,25.937500,7.431972,6006800
15-02-1990,26.031250,26.156250,25.937500,25.937500,7.431972,5704000
16-02-1990,26.125000,26.125000,25.843750,25.875000,7.414067,8805600
20-02-1990,25.656250,25.781250,25.562500,25.718750,7.369296,5599600
21-02-1990,25.562500,26.281250,25.500000,26.218750,7.512564,8096400
22-02-1990,26.250000,26.375000,25.812500,25.812500,7.396154,9185600
23-02-1990,25.687500,25.968750,25.500000,25.656250,7.351388,6251600
26-02-1990,25.750000,26.031250,25.625000,26.000000,7.449884,5486000
27-02-1990,26.031250,26.375000,25.906250,25.937500,7.431972,6890800
28-02-1990,25.906250,26.156250,25.781250,25.968750,7.440925,5761200
01-03-1990,25.937500,26.093750,25.843750,26.000000,7.449884,4490800
02-03-1990,26.000000,26.343750,26.000000,26.218750,7.512564,5690000
05-03-1990,26.218750,26.468750,26.156250,26.250000,7.521518,5509200
06-03-1990,26.312500,26.437500,26.062500,26.437500,7.575243,5100800
07-03-1990,26.500000,26.562500,26.312500,26.375000,7.557333,6158400
08-03-1990,26.500000,26.843750,26.500000,26.750000,7.664783,6947600
09-03-1990,26.750000,26.843750,26.562500,26.625000,7.628967,7003200
12-03-1990,26.625000,26.937500,26.562500,26.937500,7.718512,6051200
